Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     13.49     0.00       12     0.00     0.00  std::tuple_element<1ul, std::tuple<void (*)(unsigned char), unsigned long> >::type&& std::get<1ul, void (*)(unsigned char), unsigned long>(std::tuple<void (*)(unsigned char), unsigned long>&&)
  0.00     13.49     0.00       12     0.00     0.00  void std::_Destroy<std::thread>(std::thread*)
  0.00     13.49     0.00       12     0.00     1.12  std::__invoke_result<void (*)(unsigned char), unsigned long>::type std::__invoke<void (*)(unsigned char), unsigned long>(void (*&&)(unsigned char), unsigned long&&)
  0.00     13.49     0.00       11     0.00     0.00  std::_Vector_base<std::thread, std::allocator<std::thread> >::_M_get_Tp_allocator()
  0.00     13.49     0.00       10     0.00     0.00  std::_Vector_base<std::thread, std::allocator<std::thread> >::_M_get_Tp_allocator() const
  0.00     13.49     0.00       10     0.00     0.00  std::vector<std::thread, std::allocator<std::thread> >::max_size() const
  0.00     13.49     0.00       10     0.00     0.00  std::vector<std::thread, std::allocator<std::thread> >::_S_max_size(std::allocator<std::thread> const&)
  0.00     13.49     0.00       10     0.00     0.00  std::vector<std::thread, std::allocator<std::thread> >::_S_relocate(std::thread*, std::thread*, std::thread*, std::allocator<std::thread>&)
  0.00     13.49     0.00       10     0.00     0.00  std::thread* std::__relocate_a<std::thread*, std::thread*, std::allocator<std::thread> >(std::thread*, std::thread*, std::thread*, std::allocator<std::thread>&)
  0.00     13.49     0.00       10     0.00     0.00  std::thread* std::__relocate_a_1<std::thread*, std::thread*, std::allocator<std::thread> >(std::thread*, std::thread*, std::thread*, std::allocator<std::thread>&)
  0.00     13.49     0.00       10     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00     13.49     0.00        7     0.00     0.00  bool __gnu_cxx::operator!=<std::thread*, std::vector<std::thread, std::allocator<std::thread> > >(__gnu_cxx::__normal_iterator<std::thread*, std::vector<std::thread, std::allocator<std::thread> > > const&, __gnu_cxx::__normal_iterator<std::thread*, std::vector<std::thread, std::allocator<std::thread> > > const&)
  0.00     13.49     0.00        6     0.00     0.00  __gnu_cxx::__normal_iterator<std::thread*, std::vector<std::thread, std::allocator<std::thread> > >::operator++()
  0.00     13.49     0.00        6     0.00     0.00  std::_Vector_base<std::thread, std::allocator<std::thread> >::_M_deallocate(std::thread*, unsigned long)
  0.00     13.49     0.00        6     0.00     0.00  std::vector<std::thread, std::allocator<std::thread> >::begin()
  0.00     13.49     0.00        5     0.00     0.00  __gnu_cxx::__normal_iterator<std::thread*, std::vector<std::thread, std::allocator<std::thread> > >::difference_type __gnu_cxx::operator-<std::thread*, std::vector<std::thread, std::allocator<std::thread> > >(__gnu_cxx::__normal_iterator<std::thread*, std::vector<std::thread, std::allocator<std::thread> > > const&, __gnu_cxx::__normal_iterator<std::thread*, std::vector<std::thread, std::allocator<std::thread> > > const&)
  0.00     13.49     0.00        5     0.00     0.00  std::vector<std::thread, std::allocator<std::thread> >::_M_check_len(unsigned long, char const*) const
  0.00     13.49     0.00        5     0.00     0.00  std::_Vector_base<std::thread, std::allocator<std::thread> >::_M_allocate(unsigned long)
  0.00     13.49     0.00        5     0.00     0.00  std::__new_allocator<std::thread>::deallocate(std::thread*, unsigned long)
  0.00     13.49     0.00        5     0.00     0.00  std::__new_allocator<std::thread>::allocate(unsigned long, void const*)
  0.00     13.49     0.00        5     0.00     0.00  void std::vector<std::thread, std::allocator<std::thread> >::_M_realloc_insert<void (&)(unsigned char), unsigned long&>(__gnu_cxx::__normal_iterator<std::thread*, std::vector<std::thread, std::allocator<std::thread> > >, void (&)(unsigned char), unsigned long&)
  0.00     13.49     0.00        5     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00     13.49     0.00        3     0.00     0.00  std::thread::_State_impl<std::thread::_Invoker<std::tuple<void (*)(unsigned char), unsigned long> > >::~_State_impl()
  0.00     13.49     0.00        2     0.00     0.00  std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::time_since_epoch() const
  0.00     13.49     0.00        1     0.00     0.00  __static_initialization_and_destruction_0()
  0.00     13.49     0.00        1     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000l> >::count() const
  0.00     13.49     0.00        1     0.00     0.00  void std::_Destroy_aux<false>::__destroy<std::thread*>(std::thread*, std::thread*)
  0.00     13.49     0.00        1     0.00     0.00  std::_Vector_base<std::thread, std::allocator<std::thread> >::_Vector_impl::_Vector_impl()
  0.00     13.49     0.00        1     0.00     0.00  std::_Vector_base<std::thread, std::allocator<std::thread> >::_Vector_impl::~_Vector_impl()
  0.00     13.49     0.00        1     0.00     0.00  std::_Vector_base<std::thread, std::allocator<std::thread> >::_Vector_impl_data::_Vector_impl_data()
  0.00     13.49     0.00        1     0.00     0.00  std::_Vector_base<std::thread, std::allocator<std::thread> >::_Vector_base()
  0.00     13.49     0.00        1     0.00     0.00  std::_Vector_base<std::thread, std::allocator<std::thread> >::~_Vector_base()
  0.00     13.49     0.00        1     0.00     0.00  std::__new_allocator<std::thread>::~__new_allocator()
  0.00     13.49     0.00        1     0.00     0.00  std::enable_if<std::chrono::__is_duration<std::chrono::duration<long, std::ratio<1l, 1000000l> > >::value, std::chrono::duration<long, std::ratio<1l, 1000000l> > >::type std::chrono::duration_cast<std::chrono::duration<long, std::ratio<1l, 1000000l> >, long, std::ratio<1l, 1000000000l> >(std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&)
  0.00     13.49     0.00        1     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000l> > std::chrono::__duration_cast_impl<std::chrono::duration<long, std::ratio<1l, 1000000l> >, std::ratio<1l, 1000l>, long, true, false>::__cast<long, std::ratio<1l, 1000000000l> >(std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&)
  0.00     13.49     0.00        1     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000l> >::duration<long, void>(long const&)
  0.00     13.49     0.00        1     0.00     0.00  std::common_type<std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::type std::chrono::operator-<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >(std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > > const&, std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > > const&)
  0.00     13.49     0.00        1     0.00     0.00  std::common_type<std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::type std::chrono::operator-<long, std::ratio<1l, 1000000000l>, long, std::ratio<1l, 1000000000l> >(std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&, std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&)
  0.00     13.49     0.00        1     0.00     0.00  std::vector<std::thread, std::allocator<std::thread> >::vector()
  0.00     13.49     0.00        1     0.00     0.00  std::vector<std::thread, std::allocator<std::thread> >::~vector()
  0.00     13.49     0.00        1     0.00     0.00  void std::_Destroy<std::thread*>(std::thread*, std::thread*)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2024 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) for 0.07% of 13.49 seconds

index % time    self  children    called     name
                0.07   13.42      12/12          void std::__invoke_impl<void, void (*)(unsigned char), unsigned long>(std::__invoke_other, void (*&&)(unsigned char), unsigned long&&) [4]
[1]    100.0    0.07   13.42      12         worker(unsigned char) [1]
                0.04   13.20  770044/770044      HighestCycleLength(unsigned long) [7]
                0.01    0.07  779683/779683      std::__cmpexch_failure_order(std::memory_order) [10]
                0.02    0.02  813401/813401      std::__atomic_base<unsigned long>::operator=(unsigned long) [13]
                0.02    0.02  767462/767961      std::__atomic_base<unsigned long>::operator unsigned long() const [14]
                0.01    0.00 3338557/7466427     std::__is_constant_evaluated() [15]
                0.01    0.00  814870/4009321     std::operator&(std::memory_order, std::__memory_order_modifier) [12]
                0.00    0.00      12/12          void std::this_thread::sleep_for<long, std::ratio<1l, 1000l> >(std::chrono::duration<long, std::ratio<1l, 1000l> > const&) [74]
                0.00    0.00      12/12          std::chrono::duration<long, std::ratio<1l, 1000l> >::duration<int, void>(int const&) [87]
-----------------------------------------------
                0.00   13.49      12/12          std::thread::_Invoker<std::tuple<void (*)(unsigned char), unsigned long> >::operator()() [3]
[2]    100.0    0.00   13.49      12         void std::thread::_Invoker<std::tuple<void (*)(unsigned char), unsigned long> >::_M_invoke<0ul, 1ul>(std::_Index_tuple<0ul, 1ul>) [2]
                0.00   13.49      12/12          std::__invoke_result<void (*)(unsigned char), unsigned long>::type std::__invoke<void (*)(unsigned char), unsigned long>(void (*&&)(unsigned char), unsigned long&&) [5]
                0.00    0.00      24/24          std::remove_reference<std::tuple<void (*)(unsigned char), unsigned long>&>::type&& std::move<std::tuple<void (*)(unsigned char), unsigned long>&>(std::tuple<void (*)(unsigned char), unsigned long>&) [48]
                0.00    0.00      12/12          std::tuple_element<1ul, std::tuple<void (*)(unsigned char), unsigned long> >::type&& std::get<1ul, void (*)(unsigned char), unsigned long>(std::tuple<void (*)(unsigned char), unsigned long>&&) [102]
                0.00    0.00      12/12          std::tuple_element<0ul, std::tuple<void (*)(unsigned char), unsigned long> >::type&& std::get<0ul, void (*)(unsigned char), unsigned long>(std::tuple<void (*)(unsigned char), unsigned long>&&) [101]
-----------------------------------------------
                0.00   13.49      12/12          std::thread::_State_impl<std::thread::_Invoker<std::tuple<void (*)(unsigned char), unsigned long> > >::_M_run() [6]
[3]    100.0    0.00   13.49      12         std::thread::_Invoker<std::tuple<void (*)(unsigned char), unsigned long> >::operator()() [3]
                0.00   13.49      12/12          void std::thread::_Invoker<std::tuple<void (*)(unsigned char), unsigned long> >::_M_invoke<0ul, 1ul>(std::_Index_tuple<0ul, 1ul>) [2]
-----------------------------------------------
                0.00   13.49      12/12          std::__invoke_result<void (*)(unsigned char), unsigned long>::type std::__invoke<void (*)(unsigned char), unsigned long>(void (*&&)(unsigned char), unsigned long&&) [5]
[4]    100.0    0.00   13.49      12         void std::__invoke_impl<void, void (*)(unsigned char), unsigned long>(std::__invoke_other, void (*&&)(unsigned char), unsigned long&&) [4]
                0.07   13.42      12/12          worker(unsigned char) [1]
                0.00    0.00      12/36          void (*&&std::forward<void (*)(unsigned char)>(std::remove_reference<void (*)(unsigned char)>::type&))(unsigned char) [34]
                0.00    0.00      12/36          unsigned long&& std::forward<unsigned long>(std::remove_reference<unsigned long>::type&) [35]
-----------------------------------------------
                0.00   13.49      12/12          void std::thread::_Invoker<std::tuple<void (*)(unsigned char), unsigned long> >::_M_invoke<0ul, 1ul>(std::_Index_tuple<0ul, 1ul>) [2]
[5]    100.0    0.00   13.49      12         std::__invoke_result<void (*)(unsigned char), unsigned long>::type std::__invoke<void (*)(unsigned char), unsigned long>(void (*&&)(unsigned char), unsigned long&&) [5]
                0.00   13.49      12/12          void std::__invoke_impl<void, void (*)(unsigned char), unsigned long>(std::__invoke_other, void (*&&)(unsigned char), unsigned long&&) [4]
                0.00    0.00      12/36          unsigned long&& std::forward<unsigned long>(std::remove_reference<unsigned long>::type&) [35]
                0.00    0.00      12/36          void (*&&std::forward<void (*)(unsigned char)>(std::remove_reference<void (*)(unsigned char)>::type&))(unsigned char) [34]
-----------------------------------------------
                                                 <spontaneous>
[6]    100.0    0.00   13.49                 std::thread::_State_impl<std::thread::_Invoker<std::tuple<void (*)(unsigned char), unsigned long> > >::_M_run() [6]
                0.00   13.49      12/12          std::thread::_Invoker<std::tuple<void (*)(unsigned char), unsigned long> >::operator()() [3]
-----------------------------------------------
                0.04   13.20  770044/770044      worker(unsigned char) [1]
[7]     98.1    0.04   13.20  770044         HighestCycleLength(unsigned long) [7]
                1.19   11.96  293073/293073      CycleLength(unsigned long, unsigned long) [8]
                0.05    0.00  787778/787778      Prime(unsigned long) [11]
-----------------------------------------------
                1.19   11.96  293073/293073      HighestCycleLength(unsigned long) [7]
[8]     97.5    1.19   11.96  293073         CycleLength(unsigned long, unsigned long) [8]
               11.96    0.00 44996412/44996412     qmod(unsigned long, unsigned long, unsigned long) [9]
-----------------------------------------------
               11.96    0.00 44996412/44996412     CycleLength(unsigned long, unsigned long) [8]
[9]     88.7   11.96    0.00 44996412         qmod(unsigned long, unsigned long, unsigned long) [9]
-----------------------------------------------
                0.01    0.07  779683/779683      worker(unsigned char) [1]
